case_set,snapshot_update,case_id,env_id,checkpoint,episode_return,episode_length,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,nonfinite,primary_fall,height_failure,tilt_failure,timeout,episode_seconds,velocity_tracking_error_mean,velocity_tracking_mean,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,actual_forward_distance,action_abs_mean,seed,observation_noise_seed
fixed,0,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-2.711051731253974,70,0.2436274290084839,0,13,0.0,0.0014424324035644531,2,1.20784592628479,0,0.0,68,False,True,True,True,False,1.4000000000000001,0.6073926301939147,0.3935199833450107,0.5,0.0,0.6005577544548681,-0.19581575782171318,0.8407808562368154,0.06055157019623688,12345,782347
fixed,0,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.212430635932833,66,0.26243263483047485,0,0,0.0,0.0,6,44.21979904174805,0,0.0,64,False,True,True,False,False,1.32,0.8694392903284593,0.09954248727907808,0.5,0.0,-0.15010372526717908,0.5165568493080862,-0.19813691735267638,0.0644652211304867,12345,887076
fixed,0,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.7676791165140457,42,0.25352638959884644,0,0,0.0,0.0,5,63.922019958496094,0,0.0,40,False,True,True,False,False,0.84,1.174800762108394,0.015242924453862846,0.5,0.0,-0.23185063685689652,0.8941143836293902,-0.19475453495979309,0.0653909124611389,12345,991805
fixed,0,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.5799201537738554,44,0.25086140632629395,0,0,0.0,0.0,2,2.329024076461792,0,0.0,42,False,True,False,True,False,0.88,1.391618312759833,0.005696596338720025,0.5,0.0,-0.8814223557710648,-0.15244479409672998,-0.775651673078537,0.06435223567214879,12345,1096534
fixed,0,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.652003097216948,54,0.2932742238044739,0,0,0.0,0.0,3,57.13859939575195,0,0.0,52,False,True,True,False,False,1.08,1.2359304836502782,0.021902557833419784,0.5,0.0,-0.6552626567858236,-0.4039933615260654,-0.7076836693286895,0.06475226077492591,12345,1201263
fixed,0,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.4549910592031665,62,0.2502446174621582,0,0,0.0,0.0,3,6.1351165771484375,0,0.0,59,False,True,False,True,False,1.24,0.9809050252360683,0.07452708897740341,0.5,0.0,-0.42183463599893356,-0.30794297170735174,-0.5230749486386777,0.0636519494075929,12345,1305992
fixed,0,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.595774811474257,53,0.24790480732917786,0,0,0.0,0.0,1,0.4637984037399292,0,0.0,51,False,True,True,False,False,1.06,1.1402106622479997,0.02607542331039646,0.5,0.0,-0.4894327740624266,0.5325747548409228,-0.5187987405061721,0.0661764864651662,12345,1410721
fixed,0,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.4447899542283267,52,0.23033186793327332,0,0,0.0,0.0,3,2.7418599128723145,0,0.0,52,False,True,True,False,False,1.04,1.21861075094113,0.030002605708129584,0.5,0.0,-0.6042325118413339,-0.4476337107614829,-0.6284018123149872,0.06353011734497088,12345,1515450
fixed,100,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-2.649655178305693,68,0.3790316879749298,0,11,0.0,0.002144932746887207,1,19.799705505371094,0,0.0,66,False,True,True,False,False,1.36,0.5771954110001817,0.4227586864722338,0.5,0.0,0.6058526913471082,-0.1705995994784376,0.8239596602320671,0.09049540911527242,12345,782347
fixed,100,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-2.902383854612708,81,0.3800584375858307,0,0,0.0,0.0,9,210.99365234375,0,0.0,79,False,True,True,False,False,1.62,0.791477812661065,0.14447760651603825,0.5,0.0,-0.139171525468061,0.398045406849296,-0.22545787125825884,0.08699576869423006,12345,887076
